o_hom	e_hom	nm	miss
285169	2.86E+05	350471	0.002178
285484	2.86E+05	350456	0.002221
285949	2.86E+05	350849	0.001102
285665	2.86E+05	350862	0.001065
286717	2.86E+05	350750	0.001384
286304	2.86E+05	350953	0.0008057
286655	2.86E+05	350991	0.0006975
286124	2.86E+05	350832	0.00115
285692	2.86E+05	350660	0.00164
285795	2.86E+05	350966	0.0007687
286597	2.86E+05	350881	0.001011
285951	2.86E+05	350697	0.001535
285562	2.86E+05	350546	0.001964
286249	2.86E+05	350831	0.001153
285997	2.86E+05	350805	0.001227
286008	2.86E+05	350808	0.001219
285547	2.86E+05	350762	0.00135
285358	2.86E+05	350906	0.0009395
284848	2.84E+05	348193	0.008664
287030	2.86E+05	350757	0.001364
287012	2.86E+05	350912	0.0009225
287338	2.86E+05	350810	0.001213
285847	2.86E+05	350730	0.001441
286455	2.86E+05	350861	0.001068
286452	2.86E+05	350874	0.001031
286500	2.86E+05	350866	0.001053
285642	2.86E+05	350873	0.001033
285925	2.86E+05	350850	0.001099
286576	2.86E+05	350580	0.001868
286577	2.86E+05	350941	0.0008399
285842	2.86E+05	350873	0.001033
285953	2.86E+05	350104	0.003223
285654	2.86E+05	350003	0.00351
285462	2.86E+05	350923	0.0008911
286103	2.86E+05	350719	0.001472
286467	2.86E+05	350908	0.0009338
286838	2.86E+05	350892	0.0009794
285626	2.86E+05	350825	0.00117
286003	2.86E+05	350847	0.001108
285784	2.86E+05	350888	0.0009908
287359	2.86E+05	350938	0.0008484
287256	2.86E+05	350907	0.0009367
286541	2.86E+05	350853	0.00109
286481	2.86E+05	350895	0.0009709
286388	2.86E+05	350909	0.000931
286104	2.86E+05	350730	0.001441
285663	2.86E+05	350628	0.001731
286491	2.86E+05	350876	0.001025
286854	2.86E+05	350961	0.0007829
286441	2.86E+05	350655	0.001654
286259	2.86E+05	350879	0.001016
286726	2.86E+05	350845	0.001113
285789	2.86E+05	350825	0.00117
287337	2.86E+05	350881	0.001011
286933	2.86E+05	350903	0.0009481
286351	2.86E+05	350918	0.0009054
285985	2.86E+05	350703	0.001517
286377	2.86E+05	350727	0.001449
287218	2.86E+05	350906	0.0009395
286111	2.86E+05	350905	0.0009424
286119	2.86E+05	350886	0.0009965
286105	2.86E+05	350915	0.0009139
285775	2.86E+05	350988	0.0007061
286144	2.86E+05	350842	0.001122
286185	2.86E+05	350803	0.001233
286037	2.86E+05	350745	0.001398
286435	2.86E+05	350933	0.0008627
286712	2.86E+05	351005	0.0006577
285816	2.86E+05	350968	0.000763
286402	2.86E+05	350783	0.00129
286962	2.86E+05	350916	0.0009111
286118	2.86E+05	350807	0.001221
285366	2.86E+05	350743	0.001404
286000	2.86E+05	350939	0.0008456
285724	2.86E+05	350896	0.000968
286703	2.86E+05	350904	0.0009452
286543	2.86E+05	350882	0.001008
286302	2.86E+05	350937	0.0008513
286609	2.86E+05	350842	0.001122
286358	2.86E+05	350935	0.000857
286837	2.86E+05	350815	0.001199
286231	2.86E+05	350781	0.001295
285319	2.86E+05	351015	0.0006292
286066	2.86E+05	350570	0.001896
286402	2.86E+05	350684	0.001572
286285	2.86E+05	350829	0.001159
285737	2.86E+05	350661	0.001637
287576	2.86E+05	350944	0.0008313
286469	2.86E+05	350895	0.0009709
286152	2.86E+05	350960	0.0007858
286575	2.86E+05	351002	0.0006662
286145	2.86E+05	350701	0.001523
286242	2.86E+05	350668	0.001617
286233	2.86E+05	350817	0.001193
285781	2.86E+05	350906	0.0009395
286685	2.86E+05	350727	0.001449
286239	2.86E+05	350164	0.003052
286979	2.86E+05	350916	0.0009111
286586	2.86E+05	350930	0.0008712
286534	2.86E+05	350761	0.001352
285800	2.86E+05	350844	0.001116
286043	2.86E+05	350961	0.0007829
286420	2.86E+05	350683	0.001574
286889	2.86E+05	350919	0.0009025
287768	2.86E+05	350956	0.0007972
286481	2.86E+05	350616	0.001765
285998	2.86E+05	350978	0.0007345
286657	2.86E+05	350817	0.001193
286501	2.86E+05	350643	0.001688
287168	2.86E+05	350729	0.001443
286437	2.86E+05	350924	0.0008883
285975	2.86E+05	350902	0.0009509
286767	2.86E+05	350799	0.001244
285759	2.86E+05	350977	0.0007374
286140	2.86E+05	350831	0.001153
286298	2.86E+05	350922	0.000894
286620	2.86E+05	350757	0.001364
286173	2.86E+05	350607	0.001791
287339	2.86E+05	350993	0.0006918
286086	2.86E+05	350893	0.0009766
286813	2.86E+05	350716	0.00148
286557	2.86E+05	350984	0.0007175
286524	2.86E+05	350911	0.0009253
285692	2.86E+05	350641	0.001694
286065	2.86E+05	350954	0.0008029
286281	2.86E+05	350904	0.0009452
286742	2.86E+05	350828	0.001162
286390	2.86E+05	350691	0.001552
286783	2.86E+05	350962	0.0007801
285837	2.86E+05	350866	0.001053
286489	2.86E+05	350670	0.001611
286139	2.86E+05	350704	0.001515
285761	2.85E+05	348700	0.00722
286902	2.86E+05	350779	0.001301
286589	2.86E+05	350251	0.002804
286407	2.86E+05	350921	0.0008968
285781	2.86E+05	350750	0.001384
286197	2.86E+05	350647	0.001677
287112	2.86E+05	350176	0.003018
286908	2.86E+05	350895	0.0009709
285737	2.86E+05	350774	0.001315
287140	2.86E+05	350525	0.002024
